variavel,curto_mean,longo_mean,dimensao,curto_coluna,longo_coluna
Acidentes nas operações portuárias.,2.88,2.872,Social,4.6 Acidentes nas operações portuárias.  [Curto prazo (2026 a 2027)],4.6 Acidentes nas operações portuárias.  [Longo prazo (até 2035)]
Acidentes rodoviários e ferroviários de alta severidade em áreas próximas aos portos.,2.8,2.864,Social,4.5 Acidentes rodoviários e ferroviários de alta severidade em áreas próximas aos portos.  [Curto prazo (2026 a 2027)],4.5 Acidentes rodoviários e ferroviários de alta severidade em áreas próximas aos portos.  [Longo prazo (até 2035)]
Alterações em condições de sistemas terrestres,2.56,2.848,Geopolitica,3.2 Alterações em condições de sistemas terrestres [Curto prazo (2026 a 2027)],3.2 Alterações em condições de sistemas terrestres [Longo prazo (até 2035)]
Ameaças aos direitos humanos e/ou às liberdades individuais ou de grupo.,2.6,2.824,Social,4.1 Ameaças aos direitos humanos e/ou às liberdades individuais ou de grupo. [Curto prazo (2026 a 2027)],4.1 Ameaças aos direitos humanos e/ou às liberdades individuais ou de grupo. [Longo prazo (até 2035)]
Assédio (moral e sexual) no ambiente de trabalho.,2.552,2.464,Social,4.11 Assédio (moral e sexual) no ambiente de trabalho. [Curto prazo (2026 a 2027)],4.11 Assédio (moral e sexual) no ambiente de trabalho. [Longo prazo (até 2035)]
Atraso no processo de digitalização dos portos.,3.032,2.952,Tecnologica,5.7 Atraso no processo de digitalização dos portos. [Curto prazo (2026 a 2027)],5.7 Atraso no processo de digitalização dos portos. [Longo prazo (até 2035)]
Aumento da inflação.,3.168,3.296,Economica,1.10 Aumento da inflação. [Curto prazo (2026 a 2027)],1.10 Aumento da inflação. [Longo prazo (até 2035)]
Aumento de impostos.,3.344,3.448,Economica,1.14 Aumento de impostos. [Curto prazo (2026 a 2027)],1.14 Aumento de impostos. [Longo prazo (até 2035)]
Aumento do nível do mar e processos erosivos costeiros.,2.552,2.984,Ambiental,2.6 Aumento do nível do mar e processos erosivos costeiros. [Curto prazo (2026 a 2027)],2.6 Aumento do nível do mar e processos erosivos costeiros. [Longo prazo (até 2035)]
Ausência do Estado junto às populações próximas aos portos.,2.92,3.048,Social,4.15 Ausência do Estado junto às populações próximas aos portos. [Curto prazo (2026 a 2027)],4.15 Ausência do Estado junto às populações próximas aos portos. [Longo prazo (até 2035)]
Ação do crime organizado e atividades ilícitas de empresas e pessoas.,3.192,3.28,Economica,1.9 Ação do crime organizado e atividades ilícitas de empresas e pessoas. [Curto prazo (2026 a 2027)],1.9 Ação do crime organizado e atividades ilícitas de empresas e pessoas. [Longo prazo (até 2035)]
Baixa educação/conscientização ambiental.,2.752,2.984,Ambiental,2.17 Baixa educação/conscientização ambiental. [Curto prazo (2026 a 2027)],2.17 Baixa educação/conscientização ambiental. [Longo prazo (até 2035)]
"Concentração de recursos estrategicamente importantes (minerais, materiais, tecnologias) entre um pequeno número de indivíduos",2.896,3.184,Economica,"1.2 Concentração de recursos estrategicamente importantes (minerais, materiais, tecnologias) entre um pequeno número de indivíduos [Curto prazo (2026 a 2027)]","1.2 Concentração de recursos estrategicamente importantes (minerais, materiais, tecnologias) entre um pequeno número de indivíduos [Longo prazo (até 2035)]"
Concentração dos direitos sobre tecnologias,2.6,2.768,Tecnologica,5.5 Concentração dos direitos sobre tecnologias [Curto prazo (2026 a 2027)],5.5 Concentração dos direitos sobre tecnologias [Longo prazo (até 2035)]
Conflito ou instabilidade institucional do Estado.,3.216,3.224,Economica,1.21 Conflito ou instabilidade institucional do Estado. [Curto prazo (2026 a 2027)],1.21 Conflito ou instabilidade institucional do Estado. [Longo prazo (até 2035)]
Conflitos armados entre nações.,2.904,3.096,Geopolitica,3.4 Conflitos armados entre nações. [Curto prazo (2026 a 2027)],3.4 Conflitos armados entre nações. [Longo prazo (até 2035)]
"Conflitos geoeconômicos (bloqueios, sanções, restrições tarifárias, redução de investimentos).",3.488,3.576,Geopolitica,"3.3 Conflitos geoeconômicos (bloqueios, sanções, restrições tarifárias, redução de investimentos). [Curto prazo (2026 a 2027)]","3.3 Conflitos geoeconômicos (bloqueios, sanções, restrições tarifárias, redução de investimentos). [Longo prazo (até 2035)]"
"Consequências adversas de tecnologias avançadas (física, biotecnologia, geoengenharia).",2.52,2.768,Tecnologica,"5.2 Consequências adversas de tecnologias avançadas (física, biotecnologia, geoengenharia).  [Curto prazo (2026 a 2027)]","5.2 Consequências adversas de tecnologias avançadas (física, biotecnologia, geoengenharia). [Longo prazo (até 2035)]"
Consequências indesejáveis pela aplicação de tecnologias ou IA.,2.84,3.096,Tecnologica,5.1 Consequências indesejáveis pela aplicação de tecnologias ou IA. [Curto prazo (2026 a 2027)],5.1 Consequências indesejáveis pela aplicação de tecnologias ou IA. [Longo prazo (até 2035)]
Consequências indesejáveis pela aplicação de tecnologias ou IA. Práticas de censura e vigilância adversa. Consequências adversas de tecnologias avançadas,2.72,2.856,Tecnologica,5.8 Consequências indesejáveis pela aplicação de tecnologias ou IA. Práticas de censura e vigilância adversa. Consequências adversas de tecnologias avançadas [Curto prazo (2026 a 2027)],5.8 Consequências indesejáveis pela aplicação de tecnologias ou IA. Práticas de censura e vigilância adversa. Consequências adversas de tecnologias avançadas [Longo prazo (até 2035)]
Corrupção.,3.312,3.392,Economica,1.19 Corrupção. [Curto prazo (2026 a 2027)],1.19 Corrupção. [Longo prazo (até 2035)]
Crise na disponibilidade de recursos naturais (água e produção de alimentos),2.84,3.28,Ambiental,2.4 Crise na disponibilidade de recursos naturais (água e produção de alimentos) [Curto prazo (2026 a 2027)],2.4 Crise na disponibilidade de recursos naturais (água e produção de alimentos) [Longo prazo (até 2035)]
Custo de implementação de novas tecnologias,3.056,3.072,Tecnologica,5.15 Custo de implementação de novas tecnologias [Curto prazo (2026 a 2027)],5.15 Custo de implementação de novas tecnologias [Longo prazo (até 2035)]
"Desastres naturais não relacionados ao clima, como terremotos, incêndios florestais, maremotos, subsidência.",2.288,2.568,Ambiental,"2.5 Desastres naturais não relacionados ao clima, como terremotos, incêndios florestais, maremotos, subsidência. [Curto prazo (2026 a 2027)]","2.5 Desastres naturais não relacionados ao clima, como terremotos, incêndios florestais, maremotos, subsidência. [Longo prazo (até 2035)]"
Descarbonização do transporte marítimo.,2.608,3.04,Ambiental,2.16 Descarbonização do transporte marítimo. [Curto prazo (2026 a 2027)],2.16 Descarbonização do transporte marítimo. [Longo prazo (até 2035)]
Desemprego.,2.792,2.992,Economica,1.18 Desemprego. [Curto prazo (2026 a 2027)],1.18 Desemprego. [Longo prazo (até 2035)]
Desenvolvimento inseguro e falhas na incorporação de segurança por design,2.904,2.896,Tecnologica,5.14 Desenvolvimento inseguro e falhas na incorporação de segurança por design [Curto prazo (2026 a 2027)],5.14 Desenvolvimento inseguro e falhas na incorporação de segurança por design [Longo prazo (até 2035)]
Desequilíbrio econômico regional.,3.056,3.192,Economica,1.20 Desequilíbrio econômico regional. [Curto prazo (2026 a 2027)],1.20 Desequilíbrio econômico regional. [Longo prazo (até 2035)]
Desigualdades raciais/étnicas e de gênero.,2.432,2.32,Social,4.12 Desigualdades raciais/étnicas e de gênero. [Curto prazo (2026 a 2027)],4.12 Desigualdades raciais/étnicas e de gênero. [Longo prazo (até 2035)]
Desmatamento.,2.256,2.6,Ambiental,2.14 Desmatamento. [Curto prazo (2026 a 2027)],2.14 Desmatamento. [Longo prazo (até 2035)]
Dificuldades de financiamento e obtenção de recursos financeiros para investimento.,3.008,3.16,Economica,1.11 Dificuldades de financiamento e obtenção de recursos financeiros para investimento. [Curto prazo (2026 a 2027)],1.11 Dificuldades de financiamento e obtenção de recursos financeiros para investimento. [Longo prazo (até 2035)]
Diminuição (estagnação) do ritmo e da dinâmica das atividades econômicas.,3.152,3.28,Economica,1.8 Diminuição (estagnação) do ritmo e da dinâmica das atividades econômicas. [Curto prazo (2026 a 2027)],1.8 Diminuição (estagnação) do ritmo e da dinâmica das atividades econômicas. [Longo prazo (até 2035)]
Disrupções em infraestruturas críticas (físicas e digitais),3.192,3.28,Economica,1.7 Disrupções em infraestruturas críticas (físicas e digitais) [Curto prazo (2026 a 2027)],1.7 Disrupções em infraestruturas críticas (físicas e digitais) [Longo prazo (até 2035)]
Déficit regulatório.,2.752,2.888,Economica,1.17 Déficit regulatório. [Curto prazo (2026 a 2027)],1.17 Déficit regulatório. [Longo prazo (até 2035)]
Endividamento das pessoas.,2.752,2.872,Economica,1.5 Endividamento das pessoas. [Curto prazo (2026 a 2027)],1.5 Endividamento das pessoas. [Longo prazo (até 2035)]
Endividamento empresarial.,2.872,2.984,Economica,1.4 Endividamento empresarial. [Curto prazo (2026 a 2027)],1.4 Endividamento empresarial. [Longo prazo (até 2035)]
Endividamento público.,3.12,3.16,Economica,1.3 Endividamento público. [Curto prazo (2026 a 2027)],1.3 Endividamento público. [Longo prazo (até 2035)]
Especulação e crise no mercado de ativos financeiros.,2.808,2.928,Economica,1.1 Especulação e crise no mercado de ativos financeiros. [Curto prazo (2026 a 2027)],1.1 Especulação e crise no mercado de ativos financeiros. [Longo prazo (até 2035)]
Eventos que possam impactar acessos e operações portuárias,2.744,3.04,Ambiental,2.2 Eventos que possam impactar acessos e operações portuárias [Curto prazo (2026 a 2027)],2.2 Eventos que possam impactar acessos e operações portuárias [Longo prazo (até 2035)]
Excesso regulatório.,3.488,3.544,Economica,1.16 Excesso regulatório. [Curto prazo (2026 a 2027)],1.16 Excesso regulatório. [Longo prazo (até 2035)]
Falhas na gestão de crises e na resposta a emergências.,2.816,2.872,Social,4.7 Falhas na gestão de crises e na resposta a emergências. [Curto prazo (2026 a 2027)],4.7 Falhas na gestão de crises e na resposta a emergências. [Longo prazo (até 2035)]
Falhas no controle interno: fraudes ou corrupção.,2.752,2.864,Social,4.8 Falhas no controle interno: fraudes ou corrupção.  [Curto prazo (2026 a 2027)],4.8 Falhas no controle interno: fraudes ou corrupção.  [Longo prazo (até 2035)]
"Falhas, interrupções ou disrupções em cadeias de suprimentos relevantes.",3.288,3.304,Economica,"1.6 Falhas, interrupções ou disrupções em cadeias de suprimentos relevantes. [Curto prazo (2026 a 2027)]","1.6 Falhas, interrupções ou disrupções em cadeias de suprimentos relevantes. [Longo prazo (até 2035)]"
Falta de participação social.,2.448,2.472,Social,4.13 Falta de participação social. [Curto prazo (2026 a 2027)],4.13 Falta de participação social. [Longo prazo (até 2035)]
Falta de recursos humanos capacitados e especializados no setor portuário.,3.056,3.12,Social,4.10 Falta de recursos humanos capacitados e especializados no setor portuário.  [Curto prazo (2026 a 2027)],4.10 Falta de recursos humanos capacitados e especializados no setor portuário.  [Longo prazo (até 2035)]
Falta de segurança computacional e de comunicação,3.208,3.248,Tecnologica,5.4 Falta de segurança computacional e de comunicação [Curto prazo (2026 a 2027)],5.4 Falta de segurança computacional e de comunicação [Longo prazo (até 2035)]
